ItemID,UserID,Qty,CreatedAt,UpdatedAt
1,2591,36,3/2/2014,6/11/2013
2,6131,4,2/11/2014,3/1/2014
3,5030,12,11/13/2013,5/10/2013
4,636,23,5/17/2013,1/1/2014
5,4917,23,7/15/2013,11/24/2013
6,9818,11,1/29/2014,8/30/2013
7,9948,16,7/4/2013,3/11/2014
8,4536,17,8/14/2013,3/3/2014
9,8208,32,2/10/2014,10/31/2013
10,8491,25,6/3/2013,12/11/2013
11,1314,26,11/23/2013,2/20/2014
12,363,4,11/8/2013,9/27/2013
13,8101,2,5/11/2013,7/10/2013
14,1620,37,9/5/2013,2/24/2014
15,4754,3,6/27/2013,9/12/2013
16,8849,25,6/16/2013,7/30/2013
17,7985,33,12/10/2013,11/18/2013
18,7239,34,10/25/2013,4/11/2013
19,3183,1,1/11/2014,2/16/2014
20,7833,2,6/21/2013,7/29/2013
21,7240,42,1/15/2014,1/31/2014
22,5635,24,2/9/2014,1/1/2014
23,7528,40,11/10/2013,7/2/2013
24,9147,50,8/28/2013,5/11/2013
25,8925,18,11/20/2013,5/27/2013
26,2854,33,8/28/2013,4/4/2013
27,9999,25,10/13/2013,1/11/2014
28,1483,5,4/2/2013,4/5/2013
29,4995,11,6/30/2013,9/21/2013
30,5314,31,11/13/2013,1/22/2014
31,4079,13,5/26/2013,1/11/2014
32,4678,42,1/7/2014,11/12/2013
33,5545,50,4/2/2013,12/14/2013
34,4872,44,8/7/2013,3/20/2014
35,717,15,3/21/2014,9/8/2013
36,8099,47,10/8/2013,12/13/2013
37,7908,11,5/31/2013,3/15/2014
38,340,5,5/6/2013,4/13/2013
39,4261,43,4/22/2013,1/11/2014
40,9568,37,4/24/2013,11/19/2013
41,9922,46,3/15/2014,3/21/2014
42,8000,23,7/4/2013,1/22/2014
43,4607,49,9/23/2013,6/8/2013
44,8650,35,1/15/2014,11/7/2013
45,3585,39,1/27/2014,4/21/2013
46,5339,11,1/30/2014,7/6/2013
