1,lk,713,57,22,43,647981.63
2,vu,928,27,16,36,883686.3
3,my,981,29,25,39,941876.16
4,om,677,33,36,67,843189.27
5,vc,409,96,40,85,947182.75
6,km,550,45,37,32,995506.15
7,ua,541,93,47,86,387129.14
8,ru,794,18,54,67,843518.96
9,gh,148,48,56,6,849366.95
10,pl,996,61,53,6,534237.84
11,ne,23,79,2,78,106997.22
12,pm,784,87,41,81,86640.77
13,in,625,41,46,59,865312.8
14,ht,633,16,40,45,278719.49
15,lc,676,27,33,58,380664.44
16,fi,20,40,43,79,625789.91
17,bi,346,99,47,49,45847.24
18,az,5,100,32,9,332267.79
19,mu,244,27,41,38,646197.47
20,mv,27,38,18,89,159347.95
21,fj,420,16,56,10,659614.86
22,mn,190,78,3,79,37848.13
23,ru,357,52,5,63,721522.24
24,ir,673,89,44,84,991612.32
25,bi,653,36,13,4,862228.3
26,za,728,67,6,40,984219.15
27,gm,446,78,9,87,888456.45
28,sr,627,40,17,36,334901.26
29,kz,689,36,46,15,134964.95
30,ye,365,16,49,65,36752.26
31,mq,433,47,1,13,158569.46
32,pt,9,19,18,87,753547.31
33,sz,231,68,35,99,492428.57
34,ml,828,8,32,63,209687.32
35,ax,880,42,31,60,779702.68
36,mp,877,22,2,95,60308.9
37,lr,626,94,33,64,880911.08
38,au,710,33,40,18,527068.77
39,vi,50,78,29,27,508464.8
40,az,688,56,45,14,88068.85
41,bj,267,49,7,15,601621.79
42,gd,870,79,1,25,89481.24
43,bs,334,12,3,67,52288.17
44,mm,845,54,16,75,62213.71
45,th,556,26,20,45,864584.15
46,io,280,40,20,25,189708.94
47,im,952,9,51,58,199862.35
48,cm,938,93,11,9,471077.97
49,eg,494,6,48,84,530417.31
50,al,716,29,37,56,667411.97
51,fj,690,79,46,17,537788.27
52,ve,216,61,8,57,291019.17
53,kw,505,25,27,20,832875.36
54,cf,716,24,51,95,425636.83
55,sz,464,84,22,70,442648.42
56,cv,457,65,6,5,911009.93
57,lk,389,90,20,51,608409.32
58,nf,771,87,50,47,174251.44
59,ar,537,61,42,98,530520.04
60,eh,426,70,15,36,13436.68
61,uz,612,15,42,35,695538.25
62,ae,548,49,2,36,198816.31
63,za,73,57,5,14,849938.28
64,do,650,23,55,26,542285.55
65,pr,726,59,10,83,25578.31
66,gw,585,63,35,7,455903.4
67,dk,426,94,49,47,797996.41
68,bm,534,31,24,53,673064.98
69,kp,255,49,51,6,840791.57
70,rs,879,72,17,3,304830.01
71,gg,373,100,24,3,616114.14
72,ba,877,44,37,89,289477.35
73,wf,608,70,47,26,858134.15
74,ro,9,34,23,52,340085.68
75,gw,81,13,30,99,644197.95
76,la,701,29,15,11,986393.56
77,va,69,52,33,87,22172.25
78,jo,988,38,46,79,922469.2
79,ps,728,61,27,26,278619.71
80,vi,72,44,25,70,136352.36
81,ec,87,21,33,81,582331.59
82,ag,609,47,41,100,900878.32
83,uy,986,16,56,48,355481.01
84,gw,801,92,21,21,101820.71
85,at,360,84,21,18,108061.11
86,gp,433,61,15,88,309366.48
87,gr,105,20,14,79,411824.23
88,es,497,63,23,58,435331.74
89,fr,739,53,10,90,715917.53
90,kh,583,95,56,48,255801.59
91,bn,447,90,47,58,31877.62
92,cx,477,13,29,24,663948.06
93,in,926,66,18,46,376144.6
94,ee,426,83,38,6,545475.89
95,by,678,90,9,77,478050.97
96,lv,766,44,11,86,213270.06
97,cl,434,58,7,38,109461.37
98,it,323,14,48,53,223359.4
99,ru,322,46,14,30,419861.24
100,ie,74,32,56,28,308879.41
101,bw,415,35,27,12,399326.77
102,cf,535,35,3,36,311038.84
103,bs,29,28,31,47,974102.01
104,mq,160,10,9,97,807809.12
105,ad,932,74,21,91,805445.79
106,cd,729,85,1,66,378155.12
107,qa,280,7,51,96,129997
108,ae,329,22,31,9,345080.84
109,at,68,43,16,94,149555.88
110,nr,52,42,29,41,540039.16
111,bs,425,51,44,67,144595.64
112,nr,654,75,32,67,37501.33
113,lb,617,56,14,61,583418.46
114,th,123,60,3,31,652301.91
115,ec,881,21,35,91,783648.31
116,bb,208,15,3,9,256387.38
117,gw,386,49,8,96,619076.53
118,tc,653,51,4,37,25700.3
119,sn,64,93,1,64,11175.16
120,hu,489,12,39,86,68650.28
121,hk,50,75,16,23,638866.75
122,cd,859,45,43,14,815838.59
123,yt,101,33,6,4,843055.93
124,qa,316,1,26,94,29582.78
125,lu,949,70,42,59,80070.46
126,lu,483,73,26,54,510767.91
127,ne,950,96,25,45,114957.91
128,rs,341,30,29,75,950165.95
129,by,44,58,27,32,177501.14
130,ee,171,40,25,14,489948.9
131,to,606,61,52,41,625738.19
132,mz,567,32,23,94,479422.17
133,mh,741,100,49,6,383102.73
134,vu,354,47,23,74,272500.2
135,li,123,42,40,57,496645.66
136,bo,925,64,30,58,218436.92
137,mk,874,64,47,22,614427.29
138,mz,359,47,25,87,483921.02
139,bi,340,54,37,53,678282.5
140,mg,136,39,54,10,91573.9
141,vc,225,13,12,36,241141.21
142,ph,861,6,9,2,412350.74
143,mc,122,80,52,83,101905.73
144,si,259,71,36,77,927503.61
145,kg,357,6,30,16,846904.48
146,pk,710,28,8,80,74276.58
147,mv,113,95,25,92,661365.48
148,mk,47,52,13,72,624602.27
149,ca,507,5,52,88,3066.91
150,tc,121,52,7,46,717464
151,kr,734,31,9,69,606171.83
152,py,835,72,36,36,291727.31
153,md,41,71,35,17,346872.38
154,az,612,33,15,73,750868.58
155,sd,86,74,44,52,206464.81
156,kg,637,1,26,10,764573.18
157,nr,954,78,35,35,899411.23
158,yt,702,21,39,4,513674.22
159,ga,725,62,1,96,182464.77
160,se,130,63,18,90,549932.69
161,gg,211,26,49,53,509832.57
162,se,436,31,7,24,360810.72
163,nf,164,45,9,3,392776.71
164,mp,443,80,16,27,520244.73
165,nz,982,98,17,14,491796.13
166,im,191,54,44,69,610381.86
167,lk,390,51,25,39,828440.59
168,kg,613,17,15,82,237467.46
169,me,741,81,23,23,579700.4
170,be,990,100,10,96,596372.75
171,tz,318,40,40,1,641092.66
172,sk,239,86,13,71,809411.94
173,bz,614,32,46,68,323991.2
174,tg,417,54,49,62,52454.92
175,sg,505,37,47,34,906656.47
176,lv,748,13,35,82,509445.4
177,fr,274,49,51,24,1669.38
178,pe,960,93,44,92,221141.09
179,bj,288,73,50,17,118651.86
180,gb,926,8,14,67,153399.73
181,ye,38,80,4,96,946275.24
182,mg,693,43,33,47,206737.65
183,vc,598,22,2,8,694541.64
184,tk,967,95,14,13,840088.12
185,de,137,8,12,67,424902.88
186,gr,728,91,9,78,638344.64
187,an,857,8,47,59,81344.91
188,ve,360,60,46,9,417754.99
189,hu,981,5,14,80,713586.57
190,ne,569,31,33,60,176930.81
191,tn,630,59,55,86,953108.7
192,gg,516,4,51,50,844872.3
193,ge,648,45,20,59,58658.63
194,tj,369,31,51,77,352499.88
195,it,29,69,23,52,510583.37
196,lv,86,21,28,42,242368.11
197,re,925,59,3,21,941785.36
198,my,772,37,29,2,168946.87
199,cl,182,73,5,82,959942.09
200,sh,422,92,4,41,212152.25
201,gf,835,77,43,12,963827.01
202,ph,193,95,45,82,4331.98
203,bn,831,56,44,77,184593.06
204,is,415,53,36,17,83442.71
205,ge,725,27,42,40,200817.82
206,tg,685,89,52,38,578035.17
207,qa,974,44,30,31,542791.5
208,mx,806,72,27,41,79684.9
209,tm,287,21,55,33,758900.57
210,gg,363,72,19,87,293151.22
211,gt,380,68,23,13,700096.73
212,tg,591,38,31,81,900031.25
213,az,342,56,43,97,246872.59
214,cu,317,10,12,4,909094.03
215,kw,683,53,44,39,369240.98
216,gh,414,16,6,99,816523.03
217,tl,280,21,37,87,410852.91
218,cu,632,58,3,71,857223.56
219,qa,422,61,22,48,733527.29
220,la,394,71,26,39,974187.12
221,aq,868,31,36,26,507111.15
222,gp,983,52,26,87,967013.22
223,pr,301,72,27,16,451103.1
224,lv,113,33,20,88,574260.81
225,kr,642,55,24,36,750100.24
226,bv,113,57,49,43,33860.24
227,sk,751,79,23,40,91852.91
228,cm,76,99,47,9,129180.85
229,im,777,48,28,39,245842.71
230,cl,409,24,46,45,344874.27
231,cv,488,23,53,7,915121.49
232,sk,614,43,4,32,405938.25
233,do,412,91,26,86,598003.59
234,sl,560,85,26,75,785202.49
235,gi,565,84,50,58,382238.23
236,td,760,27,9,45,305874.09
237,pe,772,54,13,14,25483.89
238,cy,993,44,49,5,630177.76
239,sm,102,71,43,76,24670.23
240,um,586,34,1,34,938002.96
241,ma,11,83,18,4,114047.65
242,cy,791,55,8,17,742096.35
243,nl,25,58,20,59,614573.57
244,pa,809,26,1,76,611601.12
245,sl,948,25,10,87,47749.93
246,ni,139,26,23,20,405675.27
247,mk,552,98,7,81,434532.37
248,gw,111,45,42,22,65487.03
249,by,635,18,46,66,565482.29
250,az,347,29,29,27,716394.08
251,cm,947,42,23,62,53179.67
252,br,237,94,32,85,122217.09
253,gg,307,46,13,15,61122.87
254,ao,40,55,55,89,655033.19
255,ps,374,9,6,75,452610.58
256,cc,817,8,23,54,760546.22
257,ky,475,45,47,25,963373.06
258,gq,364,41,11,60,34158.47
259,er,508,34,2,69,300396.91
260,mz,122,51,51,58,299452.99
261,ai,146,90,35,77,285356.62
262,de,283,10,19,3,134130.27
263,ck,384,57,1,20,371502.13
264,ag,665,64,54,92,382365.69
265,hk,643,58,18,2,767175.81
266,bw,985,9,28,37,688743.84
267,ir,396,8,14,3,293381.68
268,ne,148,92,47,17,391856.78
269,mh,342,46,49,52,875631.85
270,pk,819,24,3,45,105292.31
271,at,375,40,31,38,344585.78
272,ni,741,62,25,5,704660.44
273,tv,824,36,5,61,299548.54
274,an,565,48,28,57,265929.74
275,qa,215,12,48,67,931561.42
276,pw,330,80,13,93,583348.47
277,ml,999,87,13,93,925477.39
278,cl,162,53,31,29,192984.82
279,st,901,98,37,31,402931.18
280,mk,41,9,23,94,243858.62
281,mv,523,44,21,51,922414.9
282,kp,808,21,8,45,554607.93
283,sr,449,43,22,33,72010.82
284,tl,590,24,12,15,567966.65
285,at,268,59,40,83,833718.61
286,tg,690,56,49,45,924455
287,lk,641,99,13,68,275764.95
288,gw,120,100,44,52,864055.87
289,dj,138,22,46,24,512515.29
290,bd,825,82,35,97,305318.99
291,uz,667,74,26,81,322343.98
292,ao,333,67,40,16,437541.16
293,gh,673,39,1,20,698389.52
294,mn,505,87,26,78,664605.78
295,fj,4,98,17,74,693572.11
296,gi,523,44,30,66,403795.89
297,is,850,16,54,84,238588.3
298,cy,525,49,9,63,700738
299,lb,3,41,2,79,399896.31
300,gr,888,77,49,34,855379.57
301,sm,597,78,10,58,11712.86
302,sz,257,81,53,32,621577.37
303,mw,870,2,1,25,960392.5
304,gl,960,13,10,52,75034.36
305,td,404,28,46,92,236880.49
306,gi,712,96,9,12,241665.92
307,ml,390,58,35,45,331874.66
308,mp,901,11,49,55,890879.16
309,lv,136,2,37,47,968215.66
310,cm,445,11,35,67,559282.53
311,dk,70,5,45,80,412039.45
312,je,30,85,19,75,193702.96
313,gs,8,100,7,62,849098.89
314,gh,507,4,7,59,229938.22
315,ve,521,24,40,51,296728.1
316,mm,715,71,14,44,223776.99
317,no,730,30,32,3,262752.57
318,et,311,100,38,25,206479.81
319,ml,744,93,29,99,935107.36
320,pk,542,37,3,10,169643.99
321,tk,4,40,25,26,497942.42
322,tr,486,3,46,72,305058.31
