1,Lottery,fa fa-cube
2,PartyDonation,fa icon-candidate
3,PartyMembershipFee,fa icon-candidate
4,PartyClose,fa icon-candidate
5,ElectionFee,fa icon-man371
6,ElectionDonation,fa icon-man371
7,AdsFee,fa icon-billboard
8,Stocks,fa icon-man254 
9,Metal,fa icon-money28 
10,Property,fa icon-shop3 
11,Education,fa fa-graduation-cap
12,Loans,fa icon-businessman90
13,Gift,fa icon-present3
14,Rent,fa icon-money28
15,Social Assets,fa fa-users
16,Stock Dividend,fa icon-man254 
17,PayCheck,fa icon-online32
18,Robbery,fa icon-robber4
