JobId,JobTypeID,JobCodeID,CompanyID,ExpiryDate,Salary
1,3,374,339,2/10/2014,642554
2,1,26,349,10/26/2013,412775
3,1,351,499,11/1/2013,529932
4,3,72,242,11/5/2013,453110
5,1,446,310,10/11/2013,679544
6,1,254,192,1/30/2014,699225
7,3,3,338,5/1/2013,860728
8,3,468,112,1/6/2014,725754
9,2,169,274,1/5/2014,662956
10,1,476,376,2/21/2014,849603
11,3,448,122,1/3/2014,900928
12,1,296,258,6/30/2013,656957
13,2,269,103,4/7/2013,572827
14,1,255,169,11/13/2013,663458
15,3,368,393,9/11/2013,801602
16,3,439,473,12/3/2013,851460
17,3,226,387,11/17/2013,997136
18,2,29,368,5/6/2013,901895
19,2,257,78,3/22/2014,973575
20,3,256,69,2/7/2014,783874
21,3,495,191,9/28/2013,845217
22,2,353,363,8/24/2013,472087
23,1,322,21,10/16/2013,747266
24,1,228,315,2/5/2014,211414
25,2,145,184,8/9/2013,337120
26,2,238,132,8/31/2013,810654
27,2,66,134,6/19/2013,109280
28,2,472,308,3/25/2013,238576
29,3,60,99,6/14/2013,327514
30,3,100,216,11/19/2013,433889
31,2,500,341,4/25/2013,221927
32,2,367,124,7/11/2013,475620
33,2,444,231,12/24/2013,493731
34,3,221,167,3/12/2014,620492
35,2,288,341,2/6/2014,850424
36,1,301,163,3/6/2014,229836
37,1,143,190,11/11/2013,851204
38,3,423,288,9/28/2013,738626
39,1,170,257,1/22/2014,743941
40,1,98,236,2/12/2014,878913
41,2,265,122,6/16/2013,644530
42,1,258,350,9/20/2013,403468
43,1,59,96,1/26/2014,258049
44,1,182,463,4/6/2013,410361
45,2,384,347,1/21/2014,611695
46,3,366,398,6/25/2013,52386
47,1,488,112,3/31/2013,633516
48,3,15,36,7/2/2013,653808
49,1,185,309,6/4/2013,418935
50,3,485,67,7/16/2013,270730
51,3,353,442,1/17/2014,862321
52,2,144,232,6/9/2013,845975
53,1,431,26,2/23/2014,311982
54,3,87,484,11/5/2013,229184
55,2,491,27,7/10/2013,396300
56,3,85,80,4/29/2013,735612
57,2,91,427,6/14/2013,52420
58,2,402,1,10/21/2013,332560
59,2,55,377,1/5/2014,208305
60,3,439,264,4/18/2013,816553
61,1,239,483,12/3/2013,605512
62,1,340,138,5/16/2013,507474
63,1,392,212,2/1/2014,899691
64,3,249,267,5/7/2013,758372
65,3,473,345,2/3/2014,510609
66,2,228,78,7/16/2013,631041
67,2,377,152,5/17/2013,362909
68,3,317,443,10/24/2013,567628
69,2,117,330,3/9/2014,869795
70,1,96,180,2/16/2014,45961
71,3,231,219,9/29/2013,310696
72,3,318,303,1/24/2014,644260
73,1,260,107,5/10/2013,822031
74,1,330,93,11/19/2013,634605
75,1,307,490,2/8/2014,701792
76,2,66,151,1/5/2014,920673
77,2,266,125,10/7/2013,352260
78,2,86,498,12/22/2013,777591
79,1,471,411,10/14/2013,393269
80,1,212,405,8/12/2013,879420
81,2,140,233,4/5/2013,82262
82,1,33,403,4/30/2013,952881
83,3,252,450,3/16/2014,581304
84,2,380,419,8/28/2013,218071
85,3,251,365,12/13/2013,286986
86,3,82,393,9/27/2013,357482
87,2,90,256,1/7/2014,679795
88,3,324,100,8/1/2013,216236
89,2,366,22,6/29/2013,994049
90,1,91,219,6/24/2013,340149
91,2,180,254,2/22/2014,240497
92,2,432,412,4/4/2013,223040
93,3,145,55,9/9/2013,681834
94,1,74,151,2/9/2014,594392
95,1,87,158,4/24/2013,919592
96,2,214,468,6/5/2013,910233
97,3,257,212,1/1/2014,247643
98,2,404,253,12/7/2013,532665
99,2,73,133,3/22/2013,970818
100,2,198,150,4/8/2013,838647
101,1,253,25,11/30/2013,105760
102,1,424,380,4/10/2013,948599
103,2,171,101,11/14/2013,950652
104,2,312,444,8/27/2013,110292
105,2,262,130,8/25/2013,969924
106,1,417,248,5/20/2013,528642
107,2,36,53,10/10/2013,728564
108,1,205,304,8/29/2013,832153
109,2,378,319,3/13/2014,489271
110,2,258,150,9/12/2013,294058
111,2,330,346,1/6/2014,340056
112,3,205,317,7/12/2013,283618
113,1,140,439,9/25/2013,278853
114,1,14,231,6/19/2013,926669
115,3,313,71,8/8/2013,945618
116,1,257,170,8/15/2013,799929
117,3,477,8,5/2/2013,283696
118,3,63,428,8/9/2013,868809
119,1,182,319,6/5/2013,362789
120,1,489,402,1/25/2014,422313
121,3,146,340,9/5/2013,557483
122,1,399,103,8/20/2013,690111
123,2,322,350,7/7/2013,367404
124,1,98,178,11/29/2013,767815
125,2,187,56,3/2/2014,117379
126,2,250,20,11/17/2013,225606
127,2,184,184,2/7/2014,855744
128,1,43,3,3/21/2014,242467
129,2,92,453,9/30/2013,494862
130,3,74,315,12/27/2013,852685
