JobCodeId,Title,JobType,Duration,CheckInDuration,MinimumMatchScore,MaxHPW,OverTimeRate,IndustryId,ReqMajorId,ReqDegreeId,IndustryExperience,JobExperienc
1,Cosmetologist ,F,564,1,55,38,1,7,1,0,2,7
2,Cosmetologist ,F,56,1,45,38,1,7,1,0,0,0
3,Cosmetologist ,F,119,1,45,38,2,7,1,0,0,0
4,Cosmetologist ,F,172,1,75,38,2,7,1,0,3,4
5,Cosmetologist ,F,408,1,75,38,2,7,1,0,3,4
6,Cosmetologist ,F,354,1,60,38,2,7,1,0,0,3
7,Cosmetologist ,P,270,1,90,16,1,7,1,0,3,9
8,Cosmetologist ,P,250,1,75,16,1,7,1,0,0,3
9,Cosmetologist ,P,601,1,80,16,1,7,1,0,1,5
10,Cosmetologist ,P,136,1,35,16,1,7,1,0,1,6
11,Cosmetologist ,P,328,1,30,16,1,7,1,0,0,1
12,Cosmetologist ,P,276,1,30,16,1,7,1,0,0,2
13,Hair Stylist ,F,56,1,60,41,2,5,2,0,0,2
14,Hair Stylist ,F,57,1,60,41,2,5,2,0,0,0
15,Hair Stylist ,F,772,1,85,41,1,5,2,0,5,7
16,Hair Stylist ,F,529,1,75,41,1,5,2,0,0,0
17,Hair Stylist ,F,456,1,95,41,2,5,2,0,4,7
18,Hair Stylist ,F,424,1,80,41,2,5,2,0,1,2
19,Hair Stylist ,P,44,1,50,23,1,5,2,0,1,8
20,Hair Stylist ,P,322,1,70,23,1,5,2,0,5,6
21,Hair Stylist ,P,412,1,55,23,1,5,2,0,2,9
22,Hair Stylist ,P,63,1,30,23,1,5,2,0,0,0
23,Hair Stylist ,P,163,1,30,23,1,5,2,0,0,0
24,Hair Stylist ,P,403,1,55,23,1,5,2,0,5,8
25,Occupational Safety/Health Inspector ,F,403,1,40,38,1,5,8,1,0,1
26,Occupational Safety/Health Inspector ,F,551,1,60,38,1,5,8,1,4,9
27,Occupational Safety/Health Inspector ,F,567,1,70,38,1,5,8,1,6,9
28,Occupational Safety/Health Inspector ,F,586,1,70,38,1,5,8,0,3,4
29,Occupational Safety/Health Inspector ,F,438,1,55,38,1,5,8,2,0,3
30,Occupational Safety/Health Inspector ,F,41,1,80,38,1,5,8,0,5,6
31,Occupational Safety/Health Inspector ,P,379,1,50,16,1,5,8,1,2,3
32,Occupational Safety/Health Inspector ,P,98,1,45,16,1,5,8,2,1,3
33,Occupational Safety/Health Inspector ,P,227,1,45,16,0,5,8,1,1,7
34,Occupational Safety/Health Inspector ,P,273,1,70,16,2,5,8,2,3,8
35,Occupational Safety/Health Inspector ,P,508,1,65,16,4,5,8,2,2,7
36,Occupational Safety/Health Inspector ,P,491,1,95,16,4,5,8,2,8,9
37,Funeral Director ,F,245,1,50,36,1,6,3,1,2,4
38,Funeral Director ,F,294,1,40,36,1,6,3,1,0,2
39,Funeral Director ,F,109,1,45,36,1,6,3,1,1,6
40,Funeral Director ,F,705,1,70,36,1,6,3,2,0,0
41,Funeral Director ,F,438,1,70,36,1,6,3,2,0,5
42,Funeral Director ,F,632,1,70,36,0,6,3,2,0,0
43,Funeral Director ,P,413,1,50,23,0,6,3,1,2,3
44,Funeral Director ,P,621,1,65,23,0,6,3,1,5,7
45,Funeral Director ,P,298,1,40,23,0,6,3,1,0,5
46,Funeral Director ,P,413,1,80,23,0,6,3,2,2,3
47,Funeral Director ,P,508,1,75,23,0,6,3,2,1,5
48,Funeral Director ,P,648,1,70,23,0,6,3,2,0,0
49,Emergency Medical Technician ,F,370,1,40,39,0,2,8,1,0,4
50,Emergency Medical Technician ,F,481,1,45,39,2,2,8,1,1,2
51,Emergency Medical Technician ,F,308,1,40,39,2,2,8,1,0,0
52,Emergency Medical Technician ,F,561,1,60,39,5,2,8,2,1,3
53,Emergency Medical Technician ,F,635,1,70,39,0,2,8,2,3,9
54,Emergency Medical Technician ,F,549,1,65,39,0,2,8,2,2,7
55,Emergency Medical Technician ,P,649,1,85,22,0,2,8,2,0,0
56,Emergency Medical Technician ,P,274,1,85,22,0,2,8,1,0,1
57,Emergency Medical Technician ,P,377,1,90,22,8,2,8,0,1,9
58,Emergency Medical Technician ,P,219,1,40,22,2,2,8,0,0,1
59,Emergency Medical Technician ,P,101,1,70,22,1,2,8,0,6,7
60,Emergency Medical Technician ,P,104,1,40,22,1,2,8,1,0,0
