1,3666.49,3666.49,-51.4,-99.56,Gold, icon-gold2 goldcolor,GLD,Money Morning reserves its best content for committed members.,2013-07-08 00:00:00
2,1533.02,1533.02,68.31,1.95,Silver,icon-coins2 silvercolor,SLV,Money Morning reserves its best content for committed members.,2013-04-16 00:00:00
3,6381.53,6381.53,91.36,73.64,Technology,icon-server20,XLK,Money Morning reserves its best content for committed members.,2013-10-30 00:00:00
4,1351.96,1351.96,-82.92,-41.92,Utilities,icon-idea13,XLU,Money Morning reserves its best content for committed members.,2013-11-17 00:00:00
5,5414.71,5414.71,5.08,87.34,TeleCommunication,icon-telephone34,XTL,Money Morning reserves its best content for committed members.,2013-05-03 00:00:00
6,2900.52,2900.52,17.08,51.65,RealState,icon-urban,RWR,Money Morning reserves its best content for committed members.,2013-09-12 00:00:00
7,6788.58,6788.58,17.83,48.73,Industrial,icon-factory1,XLI,Money Morning reserves its best content for committed members.,2013-11-18 00:00:00
8,7145.97,7145.97,43.51,20.46,HealthCare,icon-hospital17,XLV,Money Morning reserves its best content for committed members.,2013-12-25 00:00:00
9,6742.14,6742.14,85.86,86.45,Financial,icon-financial,XLF,Money Morning reserves its best content for committed members.,2013-03-31 00:00:00
10,9478.49,9478.49,6.75,60.49,Energy,icon-science2,XLE,Money Morning reserves its best content for committed members.,2013-06-07 00:00:00
11,9478.49,9478.49,6.75,60.49,Casino,icon-poker4,XBI,Money Morning reserves its best content for committed members.,2013-06-07 00:00:00
