UserId	Cash	Gold	Silver	CreatedAt	UpdatedAt
1	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1013	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1017	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1039	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1068	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1137	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1144	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
116	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1174	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
119	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1294	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1461	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1592	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1620	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1751	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1818	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1920	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
1975	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2104	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2145	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2271	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2475	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2574	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
2670	10000000	131	46	2010-11-16 00:00:00	2010-03-16 00:00:00
