FollowerUserId	FollowingUserId	CreatedAt
9904	6007	2014-11-16 04:03:40
1752	5231	2014-11-16 04:03:40
273	5016	2014-11-16 04:03:40
7798	4289	2014-11-16 04:03:40
7090	6723	2014-11-16 04:03:40
4072	8349	2014-11-16 04:03:40
6746	7361	2014-11-16 04:03:40
5194	1764	2014-11-16 04:03:40
6274	7661	2014-11-16 04:03:40
7620	3909	2014-11-16 04:03:40
1592	6010	2014-11-16 04:03:40
4264	5872	2014-11-16 04:03:40
3916	1910	2014-11-16 04:03:40
1280	7532	2014-11-16 04:03:40
3255	9180	2014-11-16 04:03:40
3064	8664	2014-11-16 04:03:40
102	3571	2014-11-16 04:03:40
1515	7438	2014-11-16 04:03:40
3797	8228	2014-11-16 04:03:40
3351	5580	2014-11-16 04:03:40
531	3797	2014-11-16 04:03:40
6471	2649	2014-11-16 04:03:40
8446	3286	2014-11-16 04:03:40
4237	6099	2014-11-16 04:03:40
2271	936	2014-11-16 04:03:40
2440	5902	2014-11-16 04:03:40
2847	1389	2014-11-16 04:03:40
2499	5821	2014-11-16 04:03:40
2712	3924	2014-11-16 04:03:40
1818	4240	2014-11-16 04:03:40
7171	7581	2014-11-16 04:03:40
5609	6352	2014-11-16 04:03:40
9211	9159	2014-11-16 04:03:40
9930	1154	2014-11-16 04:03:40
1798	7899	2014-11-16 04:03:40
9687	2066	2014-11-16 04:03:40
2768	2134	2014-11-16 04:03:40
3351	9934	2014-11-16 04:03:40
7576	2712	2014-11-16 04:03:40
1818	1424	2014-11-16 04:03:40
7347	1207	2014-11-16 04:03:40
1039	7094	2014-11-16 04:03:40
9891	4624	2014-11-16 04:03:40
5930	2220	2014-11-16 04:03:40
1137	7972	2014-11-16 04:03:40
4878	3523	2014-11-16 04:03:40
7105	5466	2014-11-16 04:03:40
1017	9139	2014-11-16 04:03:40
1086	1778	2014-11-16 04:03:40
162	7208	2014-11-16 04:03:40
1682	9841	2014-11-16 04:03:40
5191	1766	2014-11-16 04:03:40
531	1581	2014-11-16 04:03:40
1137	7078	2014-11-16 04:03:40
