UserId	Cash	Gold	Silver	CreatedAt	UpdatedAt
8	912398188.00	695.00	21.00	2010-09-03 00:00:00	2010-02-22 00:00:00
1	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
33	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
5855	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
997	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
993	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
71713	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
994	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
995	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
88311	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
63053	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
83072	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
991	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
992	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
1920	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
1294	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
2475	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
2847	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
4237	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
4878	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
7347	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
9256	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
9288	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
9930	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
9837	10000000.00	131.00	46.00	2010-11-16 00:00:00	2010-03-16 00:00:00
