751	us	844	94	45	59	156126.17	2015-01-17 19:14:48
1482	us	732	31	21	52	886048.91	2015-02-20 19:14:48
1794	us	736	74	54	84	262564.09	2015-01-14 19:14:48
1866	us	539	29	49	80	74749.32	2015-01-31 19:14:48
1872	us	13	57	36	12	924943.68	2015-03-05 19:14:48
2054	us	469	86	28	84	661788.73	2015-01-18 19:14:48
2941	us	981	84	46	75	630364.22	2015-01-07 19:14:48
3099	us	693	1	51	83	591483.33	2015-03-07 19:14:48
3284	us	466	37	25	52	702627.03	2015-01-07 19:14:48
3949	us	610	75	35	78	906351.63	2015-01-15 19:14:48
4167	us	203	44	19	56	478196.17	2015-01-12 19:14:48
4288	us	273	80	3	17	770307.15	2015-03-06 19:14:48
4343	us	202	18	15	7	343763.39	2015-02-16 19:14:48
4346	us	681	4	44	59	383242.42	2015-02-15 19:14:48
4462	us	949	41	17	33	114481.37	2015-03-05 19:14:48
4502	us	829	98	13	45	980409.31	2015-02-16 19:14:48
