FollowerUserId	FollowingUserId	CreatedAt
3	4815	2014-11-30 23:17:21
3	80	2014-11-30 23:17:21
3	9999	2014-11-30 23:17:21
3	2104	2014-11-30 23:17:21
1	1920	2014-11-16 04:03:40
1	5855	2014-11-16 04:03:40
1	3518	2014-11-16 04:03:40
1	8723	2014-11-16 04:03:40
1	119	2014-11-16 04:03:40
3	5929	2014-11-30 23:17:21
531	5779	2014-11-16 04:03:40
5011	2847	2014-11-16 04:03:40
3	6679	2014-11-30 23:17:21
3	9803	2014-11-30 23:17:21
3	5701	2014-11-30 23:17:21
3	2670	2014-11-30 23:17:21
1	5375	2014-11-16 04:03:40
1	3	2014-11-16 04:03:40
1	5	2014-11-16 04:03:40
1	6	2014-11-16 04:03:40
1	8	2014-11-16 04:03:40
1	432	2014-11-16 04:03:40
1	531	2014-11-16 04:03:40
1	1920	2014-11-16 04:03:40
1920	1	2014-11-16 04:03:40
