PostCommentID,UserId,PostID,ParentCommentID,CommentDate,Comment,Country,Ip,IsApproved,Picture,IsSpam,IsDeleted,CreatedAt,UpdatedAt
1,2,1,,3/24/2013,You were signed out of Google. Please sign back in to continue.,,,,,,,,
2,3,1,,3/24/2013,Crush me please,,,,,,,,
3,4,1,,3/24/2013,I like that jack,,,,,,,,
4,5,2,,3/24/2013,Blue truck you got for the BirthDay,,,,,,,,
5,1,2,,3/24/2013,Bangladeshi President Zillur Rahman dies in a Singapore hospital at the age of 84.,,,,,,,,
6,6,3,,3/24/2013,"Deusdedit (died c. 664) was a medieval Archbishop of Canterbury, the first",,,,,,,,
7,1,3,,3/24/2013,The see of Canterbury seems to have been passing through a period of comparative obscurity and Deusdedit only consecrated one bishop; the other new bishops in England were consecrated by Celtic or foreign bishops.,,,,,,,,
8,2,2,4,3/24/2013,This is an example of SubComment for I like the Jack,,,,,,,,
9,2,2,8,3/24/2013,SubComment of SubComment,,,,,,,,
10,2,2,9,3/24/2013,SubComment of SubComment of SubComment,,,,,,,,
